"X1","X2"
1512485614000,14567297
1512485900000,14532804
1512486186000,14486492
1512486472000,14433113
1512486757000,14406923
1512487043000,14383150
1512487329000,14357707
1512487615000,14328619
1512487900000,14287478
1512488186000,14249721
1512488472000,14223945
1512488758000,14197475
1512489044000,14170524
1512489329000,14142010
1512489615000,14115058
1512489901000,14077734
1512490187000,14043795
1512490472000,14021694
1512490758000,14004538
1512491044000,13990979
1512491330000,13979189
1512491616000,13967171
1512491901000,13956768
1512492187000,13950117
1512492473000,13943225
1512492759000,13935086
1512493044000,13929239
1512493330000,13930480
1512493616000,13917982
1512493902000,13923547
1512494188000,13924512
1512494473000,13919243
1512494759000,13923203
1512495045000,13926434
1512495331000,13922859
1512495617000,13928356
1512495902000,13933089
1512496188000,13936357
1512496474000,13939531
1512496760000,13942539
1512497045000,13939950
1512497331000,13933540
1512497617000,13933135
1512497903000,13934561
1512498189000,13928507
1512498474000,13929172
1512498760000,13923647
1512499046000,13919922
1512499332000,13915654
1512499617000,13909633
1512499903000,13898809
1512500189000,13887047
1512500475000,13876485
1512500761000,13848356
1512501046000,13818770
1512501332000,13798956
1512501618000,13780038
1512501904000,13758258
1512502189000,13733256
1512502475000,13706551
1512502761000,13667131
1512503047000,13620363
1512503333000,13586546
1512503618000,13550697
1512503904000,13511842
1512504190000,13469528
1512504476000,13410703
1512504762000,13362934
1512505047000,13315597
1512505333000,13269823
1512505619000,13220831
1512505905000,13165508
1512506190000,13113840
1512506476000,13058692
1512506762000,12997702
1512507048000,12935047
1512507334000,12866337
1512507619000,12792468
1512507905000,12703772
1512508191000,12614368
1512508477000,12533213
1512508762000,12454234
1512509048000,12312435
1512509334000,12182126
1512509620000,12178794
1512509906000,12039061
1512510191000,11982476
1512510477000,11939127
1512510763000,11859562
1512511049000,11776802
1512511334000,11697191
1512511449000,11653108
1512511735000,11551842
1512512021000,11468054
1512512307000,11388486
1512512592000,11310024
1512512878000,11231631
1512513164000,11149267
1512513450000,11068911
1512513735000,10993826
1512513773000,10983583
1512514059000,10905999
1512514345000,10829998
1512514529000,10779893
1512514814000,10700274
1512515100000,10602307
1512515386000,10512084
1512515672000,10441465
1512515957000,10376978
1512516243000,10318783
1512516529000,10237858
1512516815000,10152964
1512517101000,10156041
1512517386000,10109604
1512517672000,10066644
1512517958000,10025598
1512518244000,9985574
1512518273000,9982245
1512518559000,9947418
1512518845000,9892944
1512519131000,9822088
1512519417000,9833852
1512519703000,9814898
1512519989000,9796236
1512520275000,9779990
1512520561000,9765848
1512520847000,9754997
1512521133000,9225308
1512521419000,9519676
1512521705000,8670626
1512521991000,9273505
1512522244000,9411286
1512522530000,9441705
1512522816000,9336779
1512523101000,9397951
1512523387000,9419859
1512523672000,9384617
1512523958000,9398014
1512524244000,9426815
1512524529000,9424217
1512524815000,9433772
1512525100000,9440813
1512525386000,9446072
1512525672000,9451195
1512525957000,9456660
1512526243000,9463343
1512526529000,9472380
1512526814000,9482504
1512527100000,9491193
1512527385000,9499240
1512527671000,9503362
1512527957000,9509807
1512528242000,9515090
1512528528000,9518406
1512528813000,9520702
1512529099000,9519726
1512529385000,9511517
1512529670000,9499262
1512529956000,9491950
1512530242000,9488877
1512530527000,9485636
1512530813000,9481491
1512531098000,9475410
1512531384000,9469176
1512531670000,9476724
1512531955000,9475199
1512532241000,9471958
1512532526000,9474989
1512532770000,9481070
1512533056000,9481252
1512533342000,9492446
1512533628000,9512727
1512533914000,9537600
1512534200000,9563422
1512534486000,9587340
1512534772000,9608165
1512535058000,9628035
1512535344000,9647544
1512535630000,9665343
1512535916000,9680762
1512536202000,9691661
1512536488000,9701195
1512536774000,9702675
1512537059000,9706831
1512537345000,9710942
1512537631000,9715141
1512537917000,9715201
1512538203000,9712709
1512538489000,9711743
1512538775000,9713008
1512539061000,9710204
1512539347000,9706300
1512539633000,9700077
1512539919000,9700857
1512540205000,9696432
1512540491000,9696955
1512540777000,9699849
1512541063000,9700304
1512541349000,9698842
1512541635000,9704176
1512541921000,9711275
1512542207000,9717909
1512542493000,9721268
1512542779000,9735340
1512543064000,9752210
1512543350000,9769046
1512543636000,9790682
1512543922000,9807505
1512544208000,9830880
1512544494000,9856523
1512544780000,9883131
1512545066000,9911229
1512545352000,9935875
1512545638000,9961868
1512545924000,9993303
1512546210000,10023918
1512546496000,10053179
1512546782000,10081843
1512547068000,10112338
1512547354000,10143871
1512547640000,10174229
1512547926000,10207048
1512548212000,10241493
1512548498000,10274523
1512548784000,10306966
1512549070000,10337933
1512549355000,10368212
1512549641000,10401400
1512549927000,10429139
1512550213000,10460966
1512550499000,10491377
1512550785000,10521174
1512551071000,10546540
1512551357000,10577514
1512551643000,10612021
1512551929000,10647439
1512552215000,10683539
1512552501000,10716427
1512552787000,10746230
1512553073000,10780826
1512553359000,10819509
1512553645000,10855339
1512553931000,10893358
1512554217000,10940054
1512554503000,10988170
1512554789000,11032008
1512555075000,11085922
1512555360000,11145165
1512555646000,11206145
1512555932000,11270390
1512556218000,11333840
1512556504000,11399917
1512556790000,11473096
1512557076000,11547418
1512557362000,11623028
1512557648000,11700817
1512557934000,11785855
1512558220000,11868463
1512558506000,11955781
1512558792000,12049508
1512559078000,12142546
1512559364000,12235730
1512559650000,12329869
1512559936000,12422267
1512560222000,12516495
1512560508000,12613524
1512560794000,12709005
1512561080000,12804309
1512561366000,12899530
1512561651000,12993242
1512561937000,13075595
1512562223000,13169761
1512562509000,13261502
1512562795000,13350350
1512563081000,13441505
1512563367000,13529089
1512563653000,13611465
1512563939000,13696256
1512564225000,13779077
1512564511000,13859317
1512564797000,13936857
1512565083000,14011024
1512565369000,14078776
1512565655000,14146286
1512565941000,14220961
1512566227000,14294108
1512566513000,14363035
1512566799000,14426891
1512567085000,14482733
1512567371000,14534651
1512567657000,14588890
1512567942000,14637369
1512568228000,14680657
1512568514000,14703078
1512568800000,14719838
1512569086000,14738574
1512569372000,14766941
1512569658000,14791715
1512569944000,14809188
1512570230000,14821026
1512570516000,14823962
1512570802000,14816918
1512571088000,14808141
1512571374000,14797956
1512571660000,14781632
1512571946000,14757594
1512572232000,14723435
1512572518000,14677203
1512572804000,14616357
1512573090000,14583940
1512573376000,14557873
1512573662000,14530788
1512573947000,14501598
1512574233000,14465053
1512574519000,14409443
1512574805000,14382228
1512575091000,14348540
1512575377000,14316757
1512575663000,14261383
1512575949000,14227279
1512576235000,14187423
1512576521000,14151550
1512576807000,14123419
1512577093000,14100740
1512577379000,14081831
1512577665000,14052587
1512577951000,14025680
1512578237000,14019797
1512578523000,14010032
1512578809000,13997037
1512579095000,13982855
1512579381000,13969725
1512579667000,13962210
1512579953000,13941454
1512580238000,13931945
1512580524000,13924558
1512580810000,13920137
1512581096000,13920163
1512581382000,13915906
1512581668000,13912476
1512581954000,13911838
1512582240000,13910293
1512582526000,13907523
1512582812000,13902635
1512583098000,13900103
1512583384000,13893270
1512583670000,13883724
1512583956000,13879400
1512584242000,13875590
1512584528000,13870681
1512584814000,13864068
1512585100000,13857927
1512585386000,13849084
1512585672000,13838267
1512585958000,13827218
1512586243000,13814127
1512586529000,13793324
1512586815000,13782624
1512587101000,13749151
1512587387000,13724455
1512587673000,13701408
1512587959000,13673648
1512588245000,13647138
1512588531000,13621827
1512588817000,13591525
1512589103000,13559177
1512589389000,13524395
1512589675000,13485839
1512589961000,13445985
1512590247000,13407033
1512590533000,13354353
1512590819000,13253112
1512591105000,13137292
1512591391000,13061061
1512591677000,12964131
1512591963000,12872376
1512592249000,12802991
1512592534000,12754285
1512592820000,12709831
1512593106000,12659956
1512593392000,12605663
1512593678000,12544994
1512593964000,12482174
1512594250000,12396311
1512594536000,12314221
1512594822000,12236347
1512595108000,12158493
1512595394000,12078287
1512595680000,11996242
1512595966000,11913236
1512596252000,11826497
1512596538000,11739325
1512596824000,11656270
1512597110000,11574852
1512597396000,11493790
1512597682000,11414766
1512597968000,11313676
1512598254000,11223604
1512598539000,11139478
1512598622000,11116661
1512598908000,11037285
1512599194000,10958315
1512599480000,10880178
1512599765000,10799321
1512600051000,10725619
1512600337000,10650040
1512600623000,10576293
1512600909000,10499622
1512601195000,10429289
1512601481000,10321837
1512601767000,10234570
1512602053000,10163993
1512602339000,10102583
1512602625000,10040458
1512602911000,9978898
1512603197000,9927215
1512603483000,9882557
1512603769000,9838190
1512604055000,9793501
1512604341000,9747123
1512604627000,9697159
1512604913000,9646795
1512605199000,9602820
1512605485000,9563076
1512605771000,9536847
1512606057000,9515770
1512606342000,9498919
1512606522000,9489480
1512606808000,9475142
1512607094000,9450908
1512607380000,9439503
1512607666000,9443978
1512607952000,9438625
1512608238000,9437432
1512608524000,9436765
1512608810000,9422855
1512609096000,9419061
1512609382000,9428559
1512609668000,9423100
1512609954000,9420353
1512610239000,9423346
1512610296000,9427011
1512610582000,9423119
1512610868000,9426841
1512611154000,9429278
1512611440000,9435714
1512611726000,9442763
1512612012000,9458177
1512612298000,9451017
1512612584000,9439986
1512612870000,9428750
1512613156000,9417184
1512613442000,9405729
1512613728000,9395065
1512614014000,9383949
1512614300000,9397269
1512614586000,9396188
1512614872000,9388809
1512615158000,9397311
1512615444000,9407030
1512615730000,9414412
1512616016000,9409300
1512616302000,9411885
1512616588000,9417501
1512616874000,9424160
1512617160000,9426821
1512617445000,9426602
1512617615000,9427294
1512617901000,9432331
1512618187000,9440206
1512618473000,9449120
1512618759000,9459090
1512619045000,9472298
1512619331000,9484267
1512619617000,9484236
1512619903000,9505307
1512620189000,9531987
1512620475000,9560692
1512620761000,9590060
1512621046000,9613352
1512621224000,9625600
1512621510000,9646164
1512621796000,9664095
1512622082000,9679732
1512622368000,9693387
1512622654000,9706245
1512622940000,9712349
1512623226000,9702369
1512623512000,9707123
1512623798000,9710021
1512624084000,9708001
1512624370000,9707693
1512624656000,9706025
1512624941000,9701998
1512625194000,9699019
1512625480000,9694737
1512625766000,9698391
1512626052000,9689187
1512626338000,9694316
1512626624000,9686926
1512626910000,9686178
1512627196000,9692893
1512627482000,9692746
1512627768000,9691471
1512628054000,9698566
1512628340000,9705614
1512628626000,9712282
1512628912000,9724077
1512629198000,9735490
1512629484000,9745349
1512629770000,9762798
1512630056000,9790702
